event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2020-02-01 00:05:22 UTC,cart,5886746,1.48758E+18,,,1.59,485174092,4be9643a-420b-4c6b-83dd-a15e772fbf7a
2020-02-01 00:05:25 UTC,cart,5686925,1.48758E+18,,,0.35,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:05:26 UTC,cart,5893833,1.48758E+18,,masura,3.95,417102560,dcf90ff3-a246-4b00-b39a-83e6444a0769
2020-02-01 00:05:26 UTC,remove_from_cart,5686925,1.48758E+18,,,0.35,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:05:27 UTC,view,5845616,1.93717E+18,,lovely,7.78,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:05:27 UTC,view,5836842,1.48758E+18,,pnb,31.59,608706102,9dfef9bb-c0a7-4a8e-a3c4-790e89107b58
2020-02-01 00:05:32 UTC,view,5790689,1.48758E+18,,nitrimax,3.97,608658850,f4c1d098-9ada-4517-8be2-a663cf1ac924
2020-02-01 00:05:34 UTC,cart,5698975,1.48758E+18,,,1.59,485174092,4be9643a-420b-4c6b-83dd-a15e772fbf7a
2020-02-01 00:05:34 UTC,view,5839270,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:05:36 UTC,cart,5859420,1.48758E+18,,masura,2.37,417102560,dcf90ff3-a246-4b00-b39a-83e6444a0769
2020-02-01 00:05:40 UTC,remove_from_cart,5700192,1.48758E+18,,,8.25,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:05:52 UTC,view,5746011,1.48758E+18,,runail,34.92,608801840,752e40d8-ef51-482f-90e5-b82157c0b5b4
2020-02-01 00:05:58 UTC,remove_from_cart,5859180,1.48758E+18,,,2.19,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:06:00 UTC,view,5723529,1.48758E+18,,runail,2.94,608801840,8a800870-3f7b-b5d4-0cc3-c46f14704a9d
2020-02-01 00:06:05 UTC,cart,5844316,1.48758E+18,,,1.57,485174092,4be9643a-420b-4c6b-83dd-a15e772fbf7a
2020-02-01 00:06:15 UTC,view,5711113,1.48758E+18,,f.o.x,6.03,423651741,fb42a963-abef-4c4f-b1ba-f5812dd54e80
2020-02-01 00:06:23 UTC,view,5830633,1.89143E+18,,petitfee,19.27,554962001,eb8923d0-51bf-4d9a-8477-1435e3bb0d08
2020-02-01 00:06:25 UTC,view,5886282,1.48758E+18,,,21.59,579927966,46140b11-fc78-4a3e-bce5-caec0a991bd3
2020-02-01 00:06:27 UTC,view,5686925,1.48758E+18,,,0.35,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:06:29 UTC,view,5839208,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:06:32 UTC,cart,5686925,1.48758E+18,,,0.35,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:06:34 UTC,cart,5844314,1.48758E+18,,,1.57,485174092,4be9643a-420b-4c6b-83dd-a15e772fbf7a
2020-02-01 00:06:36 UTC,remove_from_cart,5904364,1.48758E+18,,,1.59,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:06:36 UTC,remove_from_cart,5904364,1.48758E+18,,,1.59,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:06:56 UTC,cart,5687132,1.48758E+18,,,0.79,573521387,f19687c4-c4ec-45ac-b23b-bc2e47ca75d5
2020-02-01 00:06:57 UTC,remove_from_cart,5921821,2.11533E+18,,,4.95,567772288,845a2997-bcb8-4351-8aaa-4348c96475c4
2020-02-01 00:06:59 UTC,cart,5830633,1.89143E+18,,petitfee,19.27,554962001,eb8923d0-51bf-4d9a-8477-1435e3bb0d08
2020-02-01 00:07:00 UTC,remove_from_cart,5645718,1.48758E+18,,milv,0.79,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:07:01 UTC,remove_from_cart,5645718,1.48758E+18,,milv,0.79,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:07:24 UTC,view,5866135,1.48758E+18,,s.care,103.17,608822567,b18113c2-c58b-463e-8514-fcc3f69c8924
2020-02-01 00:07:28 UTC,cart,5732030,1.48758E+18,,domix,2.89,559689654,760e3daa-6ef5-41b2-bfc8-2b3b30235476
2020-02-01 00:07:35 UTC,view,5784040,1.784E+18,,,7.86,524521174,0928f4bf-02b6-40bd-aa5a-4d8ec14c0c1d
2020-02-01 00:07:41 UTC,view,5917178,1.48758E+18,,,16.35,579927966,46140b11-fc78-4a3e-bce5-caec0a991bd3
2020-02-01 00:07:43 UTC,view,5839281,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:07:52 UTC,view,5813466,1.48758E+18,,,86.51,567772288,845a2997-bcb8-4351-8aaa-4348c96475c4
2020-02-01 00:08:00 UTC,view,5800917,1.48758E+18,,,32.54,554962001,eb8923d0-51bf-4d9a-8477-1435e3bb0d08
2020-02-01 00:08:18 UTC,view,5883126,1.48758E+18,,,1.75,608823233,9c81e678-c3ef-46fd-bf37-31c73e582397
2020-02-01 00:08:21 UTC,view,5843750,1.48758E+18,,,7.71,608823239,33bc5d93-f098-4567-a069-b215c53259b6
2020-02-01 00:08:22 UTC,purchase,5678411,1.48758E+18,,estel,2.62,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:08:22 UTC,purchase,5686925,1.48758E+18,,,0.35,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:08:22 UTC,purchase,5696187,1.48758E+18,,runail,2.14,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:08:22 UTC,purchase,5727535,1.48758E+18,,,2.7,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:08:22 UTC,purchase,5804604,1.48758E+18,,bluesky,3.97,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:08:22 UTC,purchase,5809871,1.60516E+18,,grattol,3.02,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:08:22 UTC,purchase,5832415,1.48758E+18,,,2.38,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:08:22 UTC,purchase,5834460,1.48758E+18,,pole,0.79,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:08:22 UTC,purchase,5854580,1.48758E+18,,jessnail,3.81,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:08:22 UTC,purchase,5888579,2.15119E+18,,,3.33,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:08:22 UTC,purchase,5889163,2.13435E+18,,,3.49,278482846,ac0cda7a-f372-4ad3-90c7-7357128a4771
2020-02-01 00:08:27 UTC,view,5788122,1.48758E+18,,,4.44,539194336,4d212c18-717a-462d-aa19-ee1c7980ea65
2020-02-01 00:08:33 UTC,view,5917178,1.48758E+18,,,16.35,579927966,46140b11-fc78-4a3e-bce5-caec0a991bd3
2020-02-01 00:08:35 UTC,view,4549,1.48758E+18,,,9.52,601871999,334f8cd8-efd1-4a06-865d-54fd18c45656
2020-02-01 00:08:37 UTC,view,5839230,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:08:44 UTC,cart,5842141,1.48758E+18,,,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2020-02-01 00:08:49 UTC,cart,5842141,1.48758E+18,,,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2020-02-01 00:08:49 UTC,cart,5842141,1.48758E+18,,,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2020-02-01 00:08:53 UTC,view,5839213,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:08:55 UTC,view,5788122,1.48758E+18,,,4.44,539194336,4d212c18-717a-462d-aa19-ee1c7980ea65
2020-02-01 00:08:55 UTC,view,5900651,1.48758E+18,,,19.52,579927966,46140b11-fc78-4a3e-bce5-caec0a991bd3
