timestamp,name,TOC,activity,Priority_Code,case_id,DeviceType,Device,event_message
06:05.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDNORMALCHG-DET
06:07.0,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232BLKCARDevice689SIGNALRECEIVEDNORMALCHG-DET
06:07.0,ML,TMS,TOCLR,4,Substation169,BLKCAR,Device335,Substation169BLKCARDevice335SIGNALRECEIVEDNORMALCHG-DET
06:07.0,ML,TMS,TOCGR,4,Substation1142,BLKCAR,Device229,Substation1142BLKCARDevice229SIGNALXMITALARMCHG-DET
06:07.0,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247BLKCARDevice424SIGNALRECEIVEDNORMALCHG-DET
06:07.0,ML,TMS,TOCLR,4,Substation1350,BLKCAR,JAX_N_LN,Substation1350BLKCARJAX_N_LNSIGNALRECEIVEDNORMALCHG-DET
06:08.0,ML,TMS,TOCGR,4,Substation1142,BLKCAR,Device229,Substation1142BLKCARDevice229SIGNALXMITNORMALCHG-DET
06:39.0,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740GCB20585_HI_PRESSHEATERNORMALCHG-DET
07:52.0,ML,TMS,TOCPA,4,Substation879,LN,564,Substation879LN564AMPGUNBALANCED800.0CURRENTVALUE800.0AMPGHIGHLIMITVALUE40.2
08:23.0,ML,TMS,TOCPA,4,Substation879,LN,564,Substation879LN564AMPGNORMAL6.8CURRENTVALUE6.8AMPGHIGHLIMITVALUE40.2
10:01.0,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137BLKCARBGNVSIGNALRECEIVEDBLOCKTRIPCHG-DET
10:02.0,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137BLKCARBGNVSIGNALRECEIVEDNORMALCHG-DET
10:05.0,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137BLKCARBGNVSIGNALRECEIVEDBLOCKTRIPCHG-DET
10:06.0,ML,TMS,TOCMN,4,Substation1137,BLKCAR,BGNV,Substation1137BLKCARBGNVSIGNALRECEIVEDNORMALCHG-DET
10:36.0,ML,TMS,TOCBR,4,Substation611,BLKCAR,L741_PULSAR,Substation611BLKCARL741_PULSARSIGNALRECEIVEDBLOCKTRIPCHG-DET
10:36.0,ML,TMS,TOCBR,4,Substation424,BLKCAR,L741_PULSAR,Substation424BLKCARL741_PULSARSIGNALRECEIVEDNORMALCHG-DET
10:39.0,ML,TMS,TOCBR,4,Substation611,BLKCAR,L741_PULSAR,Substation611BLKCARL741_PULSARSIGNALRECEIVEDNORMALCHG-DET
10:40.0,ML,TMS,TOCBR,4,Substation424,BLKCAR,L741_PULSAR,Substation424BLKCARL741_PULSARSIGNALRECEIVEDNORMALCHG-DET
11:04.0,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879LN414AMPGUNBALANCED800.0CURRENTVALUE800.0AMPGHIGHLIMITVALUE10.9
11:35.0,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879LN414AMPGNORMAL4.9CURRENTVALUE4.9AMPGHIGHLIMITVALUE10.9
12:07.0,ML,TMS,TOCLR,4,Substation977,BLKCAR,Device754,Substation977BLKCARDevice754SIGNALRECEIVEDTRIPENABLEDCHG-DET
12:15.0,ML,TMS,TOCLR,4,Substation977,BLKCAR,Device754,Substation977BLKCARDevice754SIGNALRECEIVEDNORMALCHG-DET
13:10.0,ML,TMS,TOCBR,4,Substation1125,BLKCAR,L342_PULSAR,Substation1125BLKCARL342_PULSARSIGNALRECEIVEDNORMALCHG-DET
13:10.0,ML,TMS,TOCBR,4,Substation424,BLKCAR,L342_PULSAR,Substation424BLKCARL342_PULSARSIGNALRECEIVEDNORMALCHG-DET
13:21.0,ML,TMS,TOCBR,4,Substation1125,BLKCAR,L342_PULSAR,Substation1125BLKCARL342_PULSARSIGNALRECEIVEDNORMALCHG-DET
13:21.0,ML,TMS,TOCBR,4,Substation424,BLKCAR,L342_PULSAR,Substation424BLKCARL342_PULSARSIGNALRECEIVEDNORMALCHG-DET
15:52.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
